ERA Code,ERA Acronym,ERA Conference Name,Acronym,Conference Name (DBLP),GS Venue Code,GS Name,Google Scholar H5-Index 2023,Google Scholar H5-Index 2022,CORE ID,CORE Conference Name,ICORE 2023 Rank,CORE 2021 Rank,CORE 2020 Rank,CORE 2018 Rank,ERA 2010 Rank,DBLP Link,DBLP URL,Google Scholar Metrics Link,GS URL,Comment
42811,ESORICS,European Conference on Research in Computer Security,ESORICS,European Symposium on Research in Computer Security,x1AY1yaO1mQJ,European Conference on Research in Computer Security,28,30,515,European Symposium On Research In Computer Security,A,A,A,A,A,View,https://dblp.org/db/conf/esorics/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=x1AY1yaO1mQJ.2023,
50058,ESWC,Extended Semantic Web Conference (previously European Conference on the Semantic Web),ESWC,Extended Semantic Web Conference,mf0MeYwvqwoJ,Extended Semantic Web Conference,32,32,2021,Extended Semantic Web Conference (was European Semantic Web Conference),B,A,A,A,-,View,https://dblp.org/db/conf/esws/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=mf0MeYwvqwoJ.2023,
N76917,ETRA,Biennial ACM Symposium on Eye Tracking Research & Applications (ETRA),ETRA,Eye Tracking Research & Application,XdcjyAQJPMEJ,Eye Tracking Research & Application,32,26,2263,Eye Tracking Research and Applications,B,B,-,-,-,View,https://dblp.org/db/conf/etra/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=XdcjyAQJPMEJ.2023,
43555,EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),EUROCRYPT,International Conference on the Theory and Application of Cryptographic Techniques,fsZsNTm7Eh8J,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),63,59,1242,International Conference on the Theory and Application of Cryptographic Techniques,A*,A*,A*,A*,A,View,https://dblp.org/db/conf/eurocrypt/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=fsZsNTm7Eh8J.2023,
,,,EuroS&P,European Symposium on Security and Privacy,GoSvm-d8gKoJ,IEEE European Symposium on Security and Privacy,45,46,2185,IEEE European Symposium on Security and Privacy,NEW,NEW,NEW,NEW,-,View,https://dblp.org/db/conf/eurosp/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=GoSvm-d8gKoJ.2023,Added 22/01/2020 as it met objective criteria. Request made by Carsten Rudolph (SSC).
42820,EuroSys,ACM European Conference on Computer Systems,EuroSys,European Conference on Computer Systems,8LhhnAnPYO8J,ACM European Conference on Computer Systems,47,48,525,Eurosys Conference,A,A,A,A,A,View,https://dblp.org/db/conf/eurosys/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=8LhhnAnPYO8J.2023,
42804,EUSIPCO,European Signal Processing Conference,EUSIPCO,European Signal Processing Conference,oJ-ZYoNCyCQJ,European Signal Processing Conference (EUSIPCO),38,36,506,European Signal Processing Conference,-,-,-,B,B,View,https://dblp.org/db/conf/eusipco/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=oJ-ZYoNCyCQJ.2023,"Ranked B in CORE2018, removed in 2020."
50697,EvoMUSART,"International Conference on Computational Intelligence in Music, Sound, Art and Design",EvoMUSART,EvoStar Conferences,gEBBJic99iIJ,"International Artificial Intelligence in Music, Sound, Art and Design Conference",10,12,2314,"International Conference on Artificial Intelligence in Music, Sound, Art and Design",C,-,-,-,-,View,https://dblp.org/db/conf/evoW/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=gEBBJic99iIJ.2023,Added by CHIC Group 2019. Held as part of EvoStar.
,,,FAccT,"ACM Conference on Fairness, Accountability and Transparency",1O99uCxSZSwJ,"Conference on Fairness, Accountability, and Transparency",79,60,-,,-,-,-,-,-,View,https://dblp.org/db/conf/fat/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=1O99uCxSZSwJ.2023,Added 13/07/2022 as it met objective criteria. Request made by Jathan Sadowski.
42849,FASE,International Conference on Fundamental Approaches to Software Engineering,FASE,Fundamental Approaches to Software Engineering,Z3vTc_eaJhAJ,Fundamental Approaches to Software Engineering,17,17,554,Fundamental Approaches to Software Engineering,B,B,B,B,B,View,https://dblp.org/db/conf/fase/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=Z3vTc_eaJhAJ.2023,~Met objective criteria as at May 2019
44147,FAST,Conference on File and Storage Technologies,FAST,USENIX Conference on File and Storage Technologies,9iQfffNlIeAJ,Conference on File and Storage Technologies (FAST),38,39,1839,Conference on File and Storage Technologies,A,A,A,A,A,View,https://dblp.org/db/conf/fast/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=9iQfffNlIeAJ.2023,
42829,FC,International Conference on Financial Cryptography and Data Security,FC,Financial Cryptography and Data Security,gVeDacK3aQwJ,International Conference on Financial Cryptography and Data Security,46,50,533,Financial Cryptography and Data Security Conference,A,A,B,B,A,View,https://dblp.org/db/conf/fc/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=gVeDacK3aQwJ.2023,
70286,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,uLGTNGzfRS0J,IEEE Symposium on Field-Programmable Custom Computing Machines,30,29,2026,IEEE Symposium on Field Programmable Custom Computing Machines,B,B,A,A,-,View,https://dblp.org/db/conf/fccm/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=uLGTNGzfRS0J.2023,Reranked to B from A in CORE 2021 ranking.
,,,FiCloud,International Conference on Future Internet of Things and Cloud,qesER2iEwMYJ,International Conference on Future Internet of Things and Cloud (FiCloud),21,23,-,,-,-,-,-,-,View,https://dblp.org/db/conf/ficloud/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=qesER2iEwMYJ.2023,Added 13/08/2021 as it met objective criteria. Request made by Aamir Cheema (SSC).
